"Report File:","D:\Dropbox\DesignSpark\Projects\EnactiveTorch\ET4_0\ET4 (Bill Of Materials).csv"
"Report Written:","Friday, September 09, 2016"
"Project Path:","D:\Dropbox\DesignSpark\Projects\EnactiveTorch\ET4_0\ET4.prj"
"Design Path:","D:\Dropbox\DesignSpark\Projects\EnactiveTorch\ET4_0\ET4.pcb"
"Design Title:",""
"Created:","07/10/2015 22:48:44"
"Last Saved:","08/09/2016 22:15:09"
"Editing Time:","2716 min"
"Units:","mm (precision 4)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"VIB1","1","2 pin header TH","","JSTPH","","","","",""
"BATT","1","2 pin header TH","","JSTPH","","","","",""
"SPKR","1","2 pin header TH","","2ph","","","","",""
"SENSOR","1","2x5 header","","DIL","","","","",""
"AUXPORT","1","2x6 header","","CONN","","","","",""
"ICSP","1","6 Pin Header TH","","SM","","","","",""
"IMU","1","6 Pin Header TH","","SM","","","","",""
"U2","1","ATMEGA32U4","","SM","","","","",""
"C1","1","C0603","","SM","","","","",""
"C2","1","C0603","","SM","","","","",""
"C11","1","C0603","","SM","","","","",""
"C12","1","C0603","","SM","","","","",""
"C13","1","C0603","","SM","","","","",""
"C3","1","C0805","","SM","","","","",""
"C7","1","C0805","1uf","SM","","","","",""
"C8","1","C0805","1uf","SM","","","","",""
"C5","1","C0805","4.7uf","SM","","","","",""
"C6","1","C0805","4.7uf","SM","","","","",""
"C9","1","C0805","10uf","SM","","","","",""
"C10","1","C0805","10uf","SM","","","","",""
"C4","1","C1210","10uf","SM","","","","",""
"UD1","1","DRV2603 - LRA Driver","","SM","","","","","LRA Driver"
"UD2","1","DRV2603 - LRA Driver","","SM","","","","","LRA Driver"
"USERLED","1","Dual LED","","SM","","","","",""
"STATUSLED","1","Dual LED","","SM","","","","",""
"JK1","1","JackSocket3.5mm 5Way","","USER","","","","",""
"JK2","1","JackSocket3.5mm 5Way","","USER","","","","",""
"S1","1","M1-7 Screw Hole","","USER","","","","",""
"S2","1","M1-7 Screw Hole","","USER","","","","",""
"S3","1","M1-7 Screw Hole","","USER","","","","",""
"UE1","1","MCP73831 LiPo Charger","","SM","","","","","MCP73831 simple LiPo Charger"
"CONN1","1","MicroUSB-B","","SM","","","714-2344","","Micro SMD USB B Socket"
"U1","1","MPU-9250","","QFN","","","","","Invensense IMU"
"R2","1","R0603","22r","SM","","","","",""
"R3","1","R0603","22r","SM","","","","",""
"R1","1","R0805","","SM","","","","",""
"R9","1","R0805","","SM","","","","",""
"R6","1","R0805","2k","SM","","","","",""
"R7","1","R0805","4.7k","SM","","","","",""
"R8","1","R0805","4.7k","SM","","","","",""
"R4","1","R0805","10k","SM","","","","",""
"R5","1","R0805","470R","SM","","","","",""
"R10","1","R0805","470R","SM","","","","",""
"U3","1","Regulator LDO","","SOT223","","","","","LDO Regulator"
"UB1","1","RN42","","SM","","","","","RN42 Bluetooth module"
"VJP1","1","SMD_Tri_Jumper","","SM2","","","","",""
"VJP2","1","SMD_Tri_Jumper","","SM2","","","","",""
"SW3","1","SPDT Slide Switch","","SIL","","","","",""
"SW4","1","SPDT Slide Switch","","SIL","","","","",""
"SW1","1","Tact Sw SPST","","T","","","","",""
"RESET","1","Tact Sw SPST","","RA","","","","",""
"Y1","1","XTAL_SMD4","","SML","","","","",""
